Frecuencia (Hz)	volumen (dB)
2,691650	-60,788464
5,383301	-63,959835
8,074951	-66,097763
10,766602	-65,564568
13,458252	-69,083374
16,149902	-72,358109
18,841553	-66,581459
21,533203	-71,015106
24,224854	-72,959030
26,916504	-71,041069
29,608154	-62,193211
32,299805	-68,634087
34,991455	-71,045769
37,683105	-74,391541
40,374756	-72,483292
43,066406	-74,025253
45,758057	-76,855759
48,449707	-76,362228
51,141357	-75,831322
53,833008	-72,774689
56,524658	-66,610756
59,216309	-69,228447
61,907959	-72,883644
64,599609	-74,015762
67,291260	-73,277351
69,982910	-72,864265
72,674561	-76,183952
75,366211	-77,505219
78,057861	-75,541191
80,749512	-74,956085
83,441162	-76,082748
86,132813	-77,827194
88,824463	-77,793488
91,516113	-79,155312
94,207764	-75,705513
96,899414	-76,364082
99,591064	-77,673782
102,282715	-77,067535
104,974365	-73,732094
107,666016	-70,813805
110,357666	-62,921993
113,049316	-73,751747
115,740967	-65,849319
118,432617	-72,705849
121,124268	-71,092094
123,815918	-72,687363
126,507568	-77,680809
129,199219	-75,680977
131,890869	-75,200562
134,582520	-76,732803
137,274170	-75,618340
139,965820	-76,800797
142,657471	-75,934464
145,349121	-71,720985
148,040771	-72,450775
150,732422	-74,078278
153,424072	-68,910797
156,115723	-67,241699
158,807373	-66,964928
161,499023	-68,590996
164,190674	-73,687630
166,882324	-74,108818
169,573975	-76,430611
172,265625	-72,164803
174,957275	-68,751701
177,648926	-70,832268
180,340576	-67,754082
183,032227	-68,398048
185,723877	-66,700218
188,415527	-66,935165
191,107178	-70,666176
193,798828	-75,177277
196,490479	-74,937401
199,182129	-75,423210
201,873779	-72,738708
204,565430	-71,393166
207,257080	-71,608963
209,948730	-75,864876
212,640381	-75,633224
215,332031	-73,832138
218,023682	-72,236641
220,715332	-72,268250
223,406982	-75,027397
226,098633	-76,315048
228,790283	-74,927452
231,481934	-75,218452
234,173584	-74,528206
236,865234	-76,830956
239,556885	-70,268829
242,248535	-75,394218
244,940186	-75,945107
247,631836	-75,330223
250,323486	-72,982483
253,015137	-72,210335
255,706787	-70,785606
258,398438	-71,923050
261,090088	-71,913223
263,781738	-74,705528
266,473389	-76,320030
269,165039	-76,036583
271,856689	-75,398270
274,548340	-74,285187
277,239990	-73,154762
279,931641	-71,937431
282,623291	-71,764107
285,314941	-71,899940
288,006592	-73,358185
290,698242	-74,872215
293,389893	-73,399910
296,081543	-71,665535
298,773193	-71,519302
301,464844	-71,747154
304,156494	-71,481331
306,848145	-71,654350
309,539795	-74,074417
312,231445	-77,030609
314,923096	-74,549507
317,614746	-74,111847
320,306396	-73,051094
322,998047	-72,612701
325,689697	-73,681252
328,381348	-72,015961
331,072998	-74,513535
333,764648	-72,226273
336,456299	-71,538391
339,147949	-72,313492
341,839600	-75,393105
344,531250	-75,354698
347,222900	-73,837723
349,914551	-71,029564
352,606201	-73,780602
355,297852	-74,986107
357,989502	-74,251839
360,681152	-73,104721
363,372803	-79,880730
366,064453	-79,390732
368,756104	-76,447121
371,447754	-75,562454
374,139404	-77,324883
376,831055	-77,281250
379,522705	-77,667023
382,214355	-76,408783
384,906006	-75,783760
387,597656	-78,290031
390,289307	-78,756035
392,980957	-78,232780
395,672607	-77,053162
398,364258	-77,355675
401,055908	-79,582985
403,747559	-78,726089
406,439209	-80,683800
409,130859	-80,820992
411,822510	-81,443169
414,514160	-82,547485
417,205811	-81,614761
419,897461	-79,809547
422,589111	-80,037437
425,280762	-80,720993
427,972412	-77,518051
430,664063	-77,471321
433,355713	-80,505722
436,047363	-81,646347
438,739014	-80,562172
441,430664	-78,999939
444,122314	-81,384094
446,813965	-82,637398
449,505615	-82,224327
452,197266	-80,147003
454,888916	-80,798874
457,580566	-79,556152
460,272217	-76,416649
462,963867	-79,989426
465,655518	-80,903572
468,347168	-81,048889
471,038818	-80,083534
473,730469	-82,093979
476,422119	-80,240929
479,113770	-79,917801
481,805420	-82,490044
484,497070	-82,907356
487,188721	-82,709839
489,880371	-83,409492
492,572021	-82,402451
495,263672	-80,359627
497,955322	-78,724258
500,646973	-79,981781
503,338623	-83,085907
506,030273	-84,593491
508,721924	-81,509224
511,413574	-79,854500
514,105225	-79,933273
516,796875	-82,074837
519,488525	-79,858482
522,180176	-77,635406
524,871826	-79,402489
527,563477	-79,088150
530,255127	-78,154877
532,946777	-78,805290
535,638428	-80,619194
538,330078	-79,198135
541,021729	-78,105606
543,713379	-78,320740
546,405029	-79,061180
549,096680	-80,064072
551,788330	-79,003899
554,479980	-77,925812
557,171631	-78,893837
559,863281	-80,741737
562,554932	-81,865211
565,246582	-81,067253
567,938232	-79,568596
570,629883	-79,313400
573,321533	-77,514267
576,013184	-79,342316
578,704834	-80,155769
581,396484	-79,057793
584,088135	-81,928749
586,779785	-81,146263
589,471436	-81,345909
592,163086	-82,214783
594,854736	-83,547325
597,546387	-81,148674
600,238037	-75,287727
602,929688	-79,313599
605,621338	-80,023895
608,312988	-80,550476
611,004639	-80,845535
613,696289	-80,143318
616,387939	-81,836594
619,079590	-80,738564
621,771240	-80,229370
624,462891	-82,999603
627,154541	-81,199142
629,846191	-82,480652
632,537842	-81,119026
635,229492	-81,168243
637,921143	-82,360428
640,612793	-82,477539
643,304443	-82,018692
645,996094	-80,029709
648,687744	-81,154037
651,379395	-82,248070
654,071045	-82,856758
656,762695	-82,933975
659,454346	-84,567612
662,145996	-83,769379
664,837646	-83,749641
667,529297	-82,494331
670,220947	-82,554611
672,912598	-84,626343
675,604248	-86,364975
678,295898	-86,559586
680,987549	-86,544502
683,679199	-86,330032
686,370850	-89,216759
689,062500	-86,132935
691,754150	-86,334717
694,445801	-84,774773
697,137451	-86,735733
699,829102	-86,042702
702,520752	-85,489685
705,212402	-83,865974
707,904053	-85,216766
710,595703	-85,106796
713,287354	-83,411041
715,979004	-82,698685
718,670654	-83,971184
721,362305	-83,546318
724,053955	-84,339859
726,745605	-85,802589
729,437256	-86,465080
732,128906	-84,979149
734,820557	-83,011955
737,512207	-83,011055
740,203857	-83,811623
742,895508	-85,300301
745,587158	-83,560028
748,278809	-85,585007
750,970459	-86,401375
753,662109	-85,160156
756,353760	-84,295540
759,045410	-85,830193
761,737061	-84,286865
764,428711	-80,660851
767,120361	-82,075424
769,812012	-83,343658
772,503662	-82,928795
775,195313	-84,713989
777,886963	-85,621147
780,578613	-83,815857
783,270264	-84,707535
785,961914	-84,608086
788,653564	-83,463905
791,345215	-82,782600
794,036865	-83,236198
796,728516	-84,735001
799,420166	-83,129967
802,111816	-81,595543
804,803467	-83,741188
807,495117	-82,796494
810,186768	-82,282379
812,878418	-84,611496
815,570068	-84,839478
818,261719	-84,507767
820,953369	-84,102455
823,645020	-86,544395
826,336670	-83,256836
829,028320	-82,537148
831,719971	-82,580307
834,411621	-84,231491
837,103271	-85,983299
839,794922	-78,838554
842,486572	-85,277618
845,178223	-84,845505
847,869873	-88,337036
850,561523	-85,344925
853,253174	-86,665504
855,944824	-86,235512
858,636475	-86,899780
861,328125	-88,028366
864,019775	-86,505096
866,711426	-87,339760
869,403076	-86,718529
872,094727	-86,037224
874,786377	-85,027046
877,478027	-85,968544
880,169678	-86,616760
882,861328	-86,041801
885,552979	-87,255241
888,244629	-85,707542
890,936279	-86,379654
893,627930	-85,902779
896,319580	-85,010071
899,011230	-86,120140
901,702881	-86,237083
904,394531	-88,121346
907,086182	-85,879723
909,777832	-84,567795
912,469482	-86,946281
915,161133	-87,546791
917,852783	-87,649300
920,544434	-84,374519
923,236084	-86,266922
925,927734	-86,017006
928,619385	-86,703300
931,311035	-85,875862
934,002686	-84,480881
936,694336	-82,679451
939,385986	-84,119339
942,077637	-84,453613
944,769287	-84,823067
947,460938	-85,182304
950,152588	-84,405167
952,844238	-85,119301
955,535889	-85,008316
958,227539	-85,819092
960,919189	-85,775536
963,610840	-84,546646
966,302490	-86,028755
968,994141	-84,775261
971,685791	-84,445808
974,377441	-83,653969
977,069092	-84,347679
979,760742	-84,271858
982,452393	-84,689163
985,144043	-84,957680
987,835693	-84,386009
990,527344	-83,597786
993,218994	-82,619461
995,910645	-83,387779
998,602295	-82,883354
1001,293945	-83,560722
1003,985596	-82,675240
1006,677246	-83,230644
1009,368896	-83,025558
1012,060547	-82,486992
1014,752197	-85,850929
1017,443848	-85,111237
1020,135498	-83,690994
1022,827148	-86,296143
1025,518799	-84,435768
1028,210449	-83,791046
1030,902100	-83,936150
1033,593750	-85,886406
1036,285400	-85,025787
1038,977051	-85,158051
1041,668701	-85,767952
1044,360352	-85,173790
1047,052002	-85,036636
1049,743652	-86,679199
1052,435303	-86,084297
1055,126953	-86,511200
1057,818604	-88,046532
1060,510254	-86,940140
1063,201904	-86,531906
1065,893555	-86,388809
1068,585205	-87,776192
1071,276855	-89,134918
1073,968506	-88,272858
1076,660156	-87,891541
1079,351807	-85,495476
1082,043457	-87,067291
1084,735107	-87,633720
1087,426758	-86,071701
1090,118408	-86,595444
1092,810059	-84,634247
1095,501709	-89,228325
1098,193359	-88,408463
1100,885010	-88,122330
1103,576660	-87,491829
1106,268311	-89,694916
1108,959961	-87,196854
1111,651611	-86,821655
1114,343262	-88,120888
1117,034912	-86,229691
1119,726563	-87,003189
1122,418213	-87,247208
1125,109863	-86,961205
1127,801514	-87,168289
1130,493164	-87,742340
1133,184814	-88,698639
1135,876465	-88,310326
1138,568115	-88,460640
1141,259766	-88,158150
1143,951416	-88,326149
1146,643066	-89,191658
1149,334717	-85,115875
1152,026367	-83,754272
1154,718018	-85,699875
1157,409668	-85,030899
1160,101318	-86,647667
1162,792969	-88,403000
1165,484619	-87,302307
1168,176270	-87,618042
1170,867920	-87,588165
1173,559570	-87,479889
1176,251221	-86,229340
1178,942871	-86,625053
1181,634521	-86,205750
1184,326172	-85,693001
1187,017822	-86,229172
1189,709473	-86,285599
1192,401123	-86,343445
1195,092773	-86,219032
1197,784424	-86,841011
1200,476074	-85,747696
1203,167725	-86,137550
1205,859375	-82,687271
1208,551025	-83,926086
1211,242676	-85,469398
1213,934326	-86,289879
1216,625977	-87,681099
1219,317627	-88,473427
1222,009277	-85,692627
1224,700928	-85,705696
1227,392578	-86,288284
1230,084229	-86,071915
1232,775879	-88,210968
1235,467529	-86,321922
1238,159180	-87,100327
1240,850830	-85,621132
1243,542480	-86,115974
1246,234131	-86,499199
1248,925781	-86,834076
1251,617432	-87,364090
1254,309082	-87,675690
1257,000732	-88,334007
1259,692383	-87,764336
1262,384033	-87,480484
1265,075684	-87,823174
1267,767334	-88,944748
1270,458984	-87,732040
1273,150635	-86,957687
1275,842285	-87,663002
1278,533936	-89,059334
1281,225586	-88,137794
1283,917236	-88,877769
1286,608887	-88,424423
1289,300537	-88,398979
1291,992188	-89,326317
1294,683838	-89,279770
1297,375488	-90,148003
1300,067139	-90,512215
1302,758789	-90,584015
1305,450439	-90,085213
1308,142090	-89,572510
1310,833740	-89,505920
1313,525391	-88,999054
1316,217041	-89,151321
1318,908691	-88,720634
1321,600342	-88,911629
1324,291992	-88,441261
1326,983643	-89,196098
1329,675293	-86,918495
1332,366943	-87,225876
1335,058594	-87,695824
1337,750244	-88,936302
1340,441895	-89,148155
1343,133545	-89,559006
1345,825195	-89,792877
1348,516846	-90,187073
1351,208496	-90,770920
1353,900146	-89,755264
1356,591797	-88,350388
1359,283447	-89,825424
1361,975098	-89,127090
1364,666748	-91,567719
1367,358398	-90,579453
1370,050049	-89,399185
1372,741699	-89,773323
1375,433350	-88,863113
1378,125000	-87,382332
1380,816650	-83,085617
1383,508301	-88,101662
1386,199951	-91,048111
1388,891602	-90,695137
1391,583252	-90,315262
1394,274902	-90,941208
1396,966553	-91,935555
1399,658203	-91,835342
1402,349854	-92,722664
1405,041504	-91,050262
1407,733154	-91,041855
1410,424805	-91,860909
1413,116455	-91,322105
1415,808105	-92,669945
1418,499756	-93,010284
1421,191406	-91,520729
1423,883057	-92,839195
1426,574707	-90,683350
1429,266357	-91,058922
1431,958008	-90,231972
1434,649658	-90,486961
1437,341309	-88,671806
1440,032959	-88,132317
1442,724609	-91,906830
1445,416260	-92,616104
1448,107910	-90,628937
