Frecuencia (Hz)	volumen (dB)
2,691650	-60,865101
5,383301	-63,131104
8,074951	-66,336922
10,766602	-67,492363
13,458252	-70,606247
16,149902	-73,074600
18,841553	-73,028519
21,533203	-74,404243
24,224854	-76,064445
26,916504	-75,182846
29,608154	-70,887253
32,299805	-77,211067
34,991455	-79,525269
37,683105	-80,360649
40,374756	-79,101273
43,066406	-81,052452
45,758057	-80,802292
48,449707	-82,644135
51,141357	-80,500771
53,833008	-80,480431
56,524658	-76,246300
59,216309	-69,419579
61,907959	-77,646095
64,599609	-81,564720
67,291260	-81,125946
69,982910	-80,520256
72,674561	-81,545090
75,366211	-82,627106
78,057861	-83,781258
80,749512	-82,498322
83,441162	-77,817543
86,132813	-76,441032
88,824463	-76,212296
91,516113	-80,722374
94,207764	-80,071976
96,899414	-78,445847
99,591064	-78,120224
102,282715	-82,416222
104,974365	-81,748367
107,666016	-80,080315
110,357666	-80,650757
113,049316	-80,404297
115,740967	-75,591553
118,432617	-72,835304
121,124268	-69,810486
123,815918	-77,092926
126,507568	-82,370384
129,199219	-81,681244
131,890869	-85,105446
134,582520	-84,194153
137,274170	-85,019302
139,965820	-84,179535
142,657471	-84,827721
145,349121	-85,472992
148,040771	-82,918808
150,732422	-83,782524
153,424072	-84,744019
156,115723	-83,355766
158,807373	-85,230217
161,499023	-85,006912
164,190674	-84,188072
166,882324	-84,620277
169,573975	-83,992836
172,265625	-84,353607
174,957275	-77,771881
177,648926	-82,906197
180,340576	-84,246155
183,032227	-83,761841
185,723877	-81,623459
188,415527	-83,367798
191,107178	-82,976692
193,798828	-82,301605
196,490479	-81,814720
199,182129	-82,052933
201,873779	-82,358299
204,565430	-83,116516
207,257080	-84,586899
209,948730	-84,152809
212,640381	-82,269119
215,332031	-81,595871
218,023682	-82,477539
220,715332	-81,805382
223,406982	-79,690979
226,098633	-80,240135
228,790283	-81,676811
231,481934	-83,239357
234,173584	-83,737793
236,865234	-83,190369
239,556885	-75,322655
242,248535	-80,404831
244,940186	-80,808411
247,631836	-81,832993
250,323486	-82,235931
253,015137	-82,471199
255,706787	-78,909157
258,398438	-79,843208
261,090088	-77,713341
263,781738	-77,284538
266,473389	-78,184288
269,165039	-79,476288
271,856689	-78,398849
274,548340	-79,644394
277,239990	-80,890991
279,931641	-79,995346
282,623291	-79,467697
285,314941	-77,610329
288,006592	-77,139198
290,698242	-81,386223
293,389893	-81,908607
296,081543	-81,362595
298,773193	-80,313324
301,464844	-76,818008
304,156494	-74,239479
306,848145	-82,361404
309,539795	-81,699371
312,231445	-81,555588
314,923096	-83,463669
317,614746	-85,782471
320,306396	-85,980949
322,998047	-85,120224
325,689697	-85,585999
328,381348	-83,873726
331,072998	-84,010788
333,764648	-83,777290
336,456299	-85,032188
339,147949	-85,076889
341,839600	-84,559402
344,531250	-83,959106
347,222900	-85,425362
349,914551	-82,817848
352,606201	-87,636467
355,297852	-85,390503
357,989502	-83,907196
360,681152	-82,224403
363,372803	-85,356079
366,064453	-84,567947
368,756104	-83,650696
371,447754	-86,218979
374,139404	-85,083351
376,831055	-85,812218
379,522705	-86,977058
382,214355	-87,266281
384,906006	-87,026649
387,597656	-86,137634
390,289307	-86,212723
392,980957	-87,981705
395,672607	-86,991631
398,364258	-87,918045
401,055908	-88,740685
403,747559	-89,177437
406,439209	-87,616936
409,130859	-86,607750
411,822510	-87,082230
414,514160	-84,536011
417,205811	-85,777641
419,897461	-86,052605
422,589111	-86,873383
425,280762	-86,587311
427,972412	-86,178398
430,664063	-86,539131
433,355713	-84,976456
436,047363	-85,655113
438,739014	-86,161514
441,430664	-86,252235
444,122314	-87,362495
446,813965	-85,622063
449,505615	-85,755882
452,197266	-86,202347
454,888916	-86,863548
457,580566	-83,976563
460,272217	-84,029922
462,963867	-84,093239
465,655518	-84,954224
468,347168	-83,432304
471,038818	-84,688370
473,730469	-86,798790
476,422119	-85,547211
479,113770	-84,598228
481,805420	-87,061584
484,497070	-91,087959
487,188721	-88,566185
489,880371	-88,256699
492,572021	-87,963142
495,263672	-86,625648
497,955322	-85,212135
500,646973	-84,763176
503,338623	-84,587196
506,030273	-85,281479
508,721924	-85,803703
511,413574	-86,202820
514,105225	-86,206047
516,796875	-86,263893
519,488525	-85,532372
522,180176	-86,355354
524,871826	-84,572624
527,563477	-85,567665
530,255127	-84,990150
532,946777	-83,840019
535,638428	-86,005562
538,330078	-86,148384
541,021729	-84,032120
543,713379	-84,086540
546,405029	-81,755142
549,096680	-83,609322
551,788330	-85,017502
554,479980	-85,723007
557,171631	-85,614700
559,863281	-85,186272
562,554932	-86,240150
565,246582	-86,276176
567,938232	-85,289940
570,629883	-85,453880
573,321533	-85,494400
576,013184	-84,497009
578,704834	-84,385841
581,396484	-84,513412
584,088135	-86,223351
586,779785	-86,532997
589,471436	-85,080269
592,163086	-84,513916
594,854736	-84,144951
597,546387	-85,392685
600,238037	-84,188103
602,929688	-82,744583
605,621338	-81,619858
608,312988	-85,760483
611,004639	-88,764671
613,696289	-85,807487
616,387939	-84,395096
619,079590	-84,109230
621,771240	-83,809723
624,462891	-87,171501
627,154541	-87,939034
629,846191	-88,805626
632,537842	-88,398254
635,229492	-87,613258
637,921143	-86,621788
640,612793	-88,114708
643,304443	-86,377998
645,996094	-88,160461
648,687744	-88,617126
651,379395	-88,950706
654,071045	-90,361801
656,762695	-86,992508
659,454346	-87,453537
662,145996	-88,323921
664,837646	-89,982132
667,529297	-89,554115
670,220947	-89,176514
672,912598	-91,654648
675,604248	-91,254791
678,295898	-90,368172
680,987549	-91,589241
683,679199	-93,089638
686,370850	-92,592941
689,062500	-92,082726
691,754150	-91,276062
694,445801	-91,883034
697,137451	-91,101425
699,829102	-92,618652
702,520752	-91,813416
705,212402	-90,387489
707,904053	-91,041595
710,595703	-89,878448
713,287354	-91,292549
715,979004	-89,927681
718,670654	-89,275002
721,362305	-87,789993
724,053955	-91,601181
726,745605	-91,571007
729,437256	-85,806236
732,128906	-90,066307
734,820557	-88,240379
737,512207	-88,490906
740,203857	-87,345062
742,895508	-87,975555
745,587158	-87,530632
748,278809	-88,306755
750,970459	-91,783134
753,662109	-89,530121
756,353760	-87,789848
759,045410	-86,799385
761,737061	-89,211884
764,428711	-87,179092
767,120361	-87,221657
769,812012	-87,200912
772,503662	-88,272408
775,195313	-87,941833
777,886963	-90,779373
780,578613	-88,540108
783,270264	-88,966881
785,961914	-88,476089
788,653564	-88,696831
791,345215	-89,900154
794,036865	-89,836754
796,728516	-88,291550
799,420166	-88,025993
802,111816	-80,190170
804,803467	-82,303368
807,495117	-87,922112
810,186768	-89,067337
812,878418	-89,744713
815,570068	-90,054855
818,261719	-89,851837
820,953369	-89,728195
823,645020	-92,193336
826,336670	-89,187469
829,028320	-88,640266
831,719971	-89,269363
834,411621	-89,469177
837,103271	-90,362175
839,794922	-91,310410
842,486572	-90,245277
845,178223	-90,081680
847,869873	-87,351585
850,561523	-87,917343
853,253174	-88,681526
855,944824	-89,469124
858,636475	-89,912354
861,328125	-89,040535
864,019775	-91,372055
866,711426	-91,048698
869,403076	-91,634743
872,094727	-90,824677
874,786377	-90,646156
877,478027	-91,941475
880,169678	-89,345261
882,861328	-89,980209
885,552979	-89,204636
888,244629	-89,955536
890,936279	-85,056923
893,627930	-85,956223
896,319580	-86,337219
899,011230	-85,940170
901,702881	-87,018845
904,394531	-86,950279
907,086182	-87,896790
909,777832	-85,513382
912,469482	-87,445564
915,161133	-88,255234
917,852783	-89,306076
920,544434	-87,246567
923,236084	-87,201752
925,927734	-87,281441
928,619385	-86,521423
931,311035	-86,321106
934,002686	-85,518654
936,694336	-85,550819
939,385986	-86,086182
942,077637	-85,507751
944,769287	-87,601624
947,460938	-84,756828
950,152588	-84,594330
952,844238	-85,393143
955,535889	-86,521294
958,227539	-87,398849
960,919189	-89,037575
963,610840	-86,085251
966,302490	-86,472389
968,994141	-86,675056
971,685791	-83,605728
974,377441	-84,146553
977,069092	-82,427528
979,760742	-84,896126
982,452393	-85,431839
985,144043	-85,114067
987,835693	-84,562057
990,527344	-83,534416
993,218994	-84,482117
995,910645	-84,652031
998,602295	-84,116135
1001,293945	-83,174187
1003,985596	-83,121582
1006,677246	-85,191757
1009,368896	-84,269402
1012,060547	-84,407845
1014,752197	-87,250069
1017,443848	-85,898148
1020,135498	-85,625931
1022,827148	-85,619324
1025,518799	-85,233101
1028,210449	-86,013382
1030,902100	-86,648689
1033,593750	-87,405670
1036,285400	-87,939987
1038,977051	-87,742447
1041,668701	-89,201332
1044,360352	-88,896896
1047,052002	-86,376717
1049,743652	-87,940208
1052,435303	-88,144173
1055,126953	-87,926842
1057,818604	-87,905075
1060,510254	-87,607307
1063,201904	-88,363068
1065,893555	-89,376526
1068,585205	-89,775665
1071,276855	-90,933662
1073,968506	-90,073364
1076,660156	-92,077164
1079,351807	-90,925468
1082,043457	-91,526062
1084,735107	-90,976524
1087,426758	-90,997635
1090,118408	-90,761040
1092,810059	-91,396919
1095,501709	-91,365761
1098,193359	-90,954460
1100,885010	-90,071976
1103,576660	-90,792015
1106,268311	-87,431427
1108,959961	-87,924789
1111,651611	-89,003380
1114,343262	-90,585922
1117,034912	-91,753754
1119,726563	-89,060287
1122,418213	-90,394508
1125,109863	-88,501968
1127,801514	-87,840034
1130,493164	-87,692886
1133,184814	-91,032959
1135,876465	-88,556137
1138,568115	-89,704903
1141,259766	-90,838692
1143,951416	-91,091408
1146,643066	-89,480682
1149,334717	-90,464767
1152,026367	-89,188034
1154,718018	-89,502129
1157,409668	-89,074600
1160,101318	-87,490028
1162,792969	-89,239700
1165,484619	-89,042946
1168,176270	-89,769798
1170,867920	-89,024261
1173,559570	-88,972534
1176,251221	-89,093147
1178,942871	-87,966858
1181,634521	-89,744591
1184,326172	-86,240906
1187,017822	-85,117531
1189,709473	-87,401123
1192,401123	-87,516273
1195,092773	-86,721542
1197,784424	-85,713974
1200,476074	-86,415520
1203,167725	-86,822159
1205,859375	-83,975739
1208,551025	-86,484634
1211,242676	-86,547943
1213,934326	-86,634399
1216,625977	-87,929871
1219,317627	-88,710945
1222,009277	-85,696388
1224,700928	-84,824333
1227,392578	-85,892479
1230,084229	-86,494423
1232,775879	-86,336273
1235,467529	-86,644157
1238,159180	-86,275223
1240,850830	-87,702477
1243,542480	-87,632080
1246,234131	-88,141556
1248,925781	-86,596855
1251,617432	-89,243469
1254,309082	-87,038391
1257,000732	-87,591667
1259,692383	-87,644554
1262,384033	-88,459167
1265,075684	-88,797539
1267,767334	-88,195831
1270,458984	-89,475967
1273,150635	-90,349136
1275,842285	-90,034294
1278,533936	-90,708450
1281,225586	-89,980263
1283,917236	-88,717850
1286,608887	-89,810165
1289,300537	-90,689705
1291,992188	-90,323189
1294,683838	-90,410301
1297,375488	-89,663750
1300,067139	-90,415962
1302,758789	-91,913811
1305,450439	-89,364647
1308,142090	-90,394432
1310,833740	-90,692520
1313,525391	-90,616226
1316,217041	-91,983742
1318,908691	-88,602119
1321,600342	-88,133415
1324,291992	-90,136749
1326,983643	-90,614059
1329,675293	-91,211884
1332,366943	-91,222267
1335,058594	-89,900826
1337,750244	-89,347931
1340,441895	-90,166245
1343,133545	-91,428177
1345,825195	-91,954979
1348,516846	-91,082397
1351,208496	-91,137817
1353,900146	-90,758041
1356,591797	-91,484718
1359,283447	-92,281776
1361,975098	-92,260567
1364,666748	-92,283546
1367,358398	-92,783257
1370,050049	-93,710220
1372,741699	-93,022499
1375,433350	-91,594925
1378,125000	-92,189903
1380,816650	-93,066452
1383,508301	-90,916229
1386,199951	-93,550484
1388,891602	-93,546394
1391,583252	-93,658760
1394,274902	-94,998802
1396,966553	-94,716095
1399,658203	-92,686691
1402,349854	-93,811852
1405,041504	-92,211609
1407,733154	-93,448639
1410,424805	-94,824280
1413,116455	-93,884773
1415,808105	-94,478859
1418,499756	-93,661911
1421,191406	-94,449936
1423,883057	-93,818428
1426,574707	-92,086998
1429,266357	-90,787979
1431,958008	-91,841415
1434,649658	-92,351326
1437,341309	-93,521240
1440,032959	-93,610352
1442,724609	-94,373398
1445,416260	-92,083115
1448,107910	-93,311729
1450,799561	-93,325264
1453,491211	-92,337250
1456,182861	-93,595985
1458,874512	-91,913223
1461,566162	-93,111755
1464,257813	-94,400108
1466,949463	-92,661430
1469,641113	-90,931160
1472,332764	-94,803825
1475,024414	-91,872963
1477,716064	-92,432625
1480,407715	-94,262711
1483,099365	-92,319031
1485,791016	-92,751907
1488,482666	-91,017502
1491,174316	-93,754295
1493,865967	-94,560104
1496,557617	-93,323067
1499,249268	-92,109703
1501,940918	-94,520279
1504,632568	-93,556084
1507,324219	-92,014580
1510,015869	-93,907013
1512,707520	-92,920242
1515,399170	-91,284920
1518,090820	-90,302536
1520,782471	-92,439690
1523,474121	-92,043732
1526,165771	-92,694763
1528,857422	-92,900085
1531,549072	-91,774536
1534,240723	-93,352821
1536,932373	-93,623642
1539,624023	-92,850487
1542,315674	-93,174026
1545,007324	-93,256348
1547,698975	-92,414642
1550,390625	-91,370224
1553,082275	-92,566956
1555,773926	-92,676598
1558,465576	-91,000282
1561,157227	-93,060318
1563,848877	-92,373222
1566,540527	-95,183762
1569,232178	-94,909370
1571,923828	-93,123466
1574,615479	-92,184448
1577,307129	-92,514015
1579,998779	-91,337120
1582,690430	-92,942993
1585,382080	-93,393402
1588,073730	-91,412102
1590,765381	-93,728767
1593,457031	-94,592293
1596,148682	-93,553436
1598,840332	-92,989914
1601,531982	-92,646721
1604,223633	-92,835098
1606,915283	-93,355240
1609,606934	-93,458443
1612,298584	-95,430031
1614,990234	-95,392662
1617,681885	-94,962448
1620,373535	-94,618164
1623,065186	-94,658409
1625,756836	-94,393242
1628,448486	-96,055885
1631,140137	-94,375885
1633,831787	-95,172791
1636,523438	-96,577850
1639,215088	-94,216347
1641,906738	-94,836411
1644,598389	-96,172470
1647,290039	-94,973412
1649,981689	-96,405663
1652,673340	-96,084579
1655,364990	-95,105270
1658,056641	-93,671234
1660,748291	-94,951485
1663,439941	-94,358086
1666,131592	-92,870979
1668,823242	-92,433670
1671,514893	-94,304581
1674,206543	-95,069130
1676,898193	-94,091408
1679,589844	-94,068893
1682,281494	-93,941925
1684,973145	-92,411865
1687,664795	-93,169334
1690,356445	-93,808861
1693,048096	-95,126190
1695,739746	-94,978096
1698,431396	-94,585312
1701,123047	-94,328613
1703,814697	-94,273369
1706,506348	-94,215233
1709,197998	-93,735878
1711,889648	-93,373093
1714,581299	-95,299477
1717,272949	-95,570381
1719,964600	-94,433777
1722,656250	-93,789879
1725,347900	-93,248650
1728,039551	-94,125450
1730,731201	-93,584114
1733,422852	-94,580742
1736,114502	-93,558701
1738,806152	-94,732109
1741,497803	-94,010254
1744,189453	-94,670311
1746,881104	-94,382065
1749,572754	-93,103539
1752,264404	-95,249596
1754,956055	-93,436218
1757,647705	-95,634834
1760,339355	-95,214493
1763,031006	-95,398155
1765,722656	-95,129105
1768,414307	-94,329903
1771,105957	-94,531151
1773,797607	-94,624023
1776,489258	-94,599159
1779,180908	-94,619850
1781,872559	-95,401260
1784,564209	-94,853088
1787,255859	-94,275513
1789,947510	-95,078468
1792,639160	-95,500565
1795,330811	-95,499901
1798,022461	-96,328415
1800,714111	-94,206718
1803,405762	-93,635223
1806,097412	-94,139572
1808,789063	-94,877991
1811,480713	-94,567436
1814,172363	-94,231720
1816,864014	-95,541565
1819,555664	-94,169624
1822,247314	-93,246040
1824,938965	-94,174156
1827,630615	-95,759796
1830,322266	-97,835503
1833,013916	-95,973488
1835,705566	-98,030594
1838,397217	-97,611000
1841,088867	-97,894218
1843,780518	-98,712624
1846,472168	-95,492348
1849,163818	-95,254654
1851,855469	-95,106247
1854,547119	-97,100067
1857,238770	-97,598236
1859,930420	-94,788712
1862,622070	-95,670761
1865,313721	-93,249397
1868,005371	-94,957741
1870,697021	-95,778625
1873,388672	-96,690765
1876,080322	-97,538147
1878,771973	-97,202774
1881,463623	-97,555237
1884,155273	-95,501747
1886,846924	-96,695854
1889,538574	-96,991592
1892,230225	-98,488213
1894,921875	-97,339638
1897,613525	-98,749016
1900,305176	-97,025452
1902,996826	-96,200447
1905,688477	-98,264580
1908,380127	-97,479500
1911,071777	-96,614937
1913,763428	-97,876343
1916,455078	-96,168030
1919,146729	-96,801163
1921,838379	-96,929733
1924,530029	-97,031639
1927,221680	-96,381989
1929,913330	-97,208511
1932,604980	-96,785225
1935,296631	-95,247932
1937,988281	-95,978630
1940,679932	-94,874710
1943,371582	-96,403549
1946,063232	-96,911888
1948,754883	-96,410851
1951,446533	-96,281715
1954,138184	-97,948486
1956,829834	-97,128639
1959,521484	-95,127609
1962,213135	-95,521072
1964,904785	-95,907333
1967,596436	-97,819511
1970,288086	-97,239723
1972,979736	-97,596840
1975,671387	-96,029831
1978,363037	-97,674835
1981,054688	-97,526588
1983,746338	-96,293724
1986,437988	-95,956642
1989,129639	-96,237473
1991,821289	-97,341125
1994,512939	-96,258934
1997,204590	-96,556198
1999,896240	-96,209251
2002,587891	-97,132263
2005,279541	-95,479362
2007,971191	-95,933121
2010,662842	-96,620178
2013,354492	-95,695488
2016,046143	-94,384338
2018,737793	-97,471695
2021,429443	-96,498756
2024,121094	-96,356407
2026,812744	-95,895134
2029,504395	-95,519005
2032,196045	-94,971886
2034,887695	-97,154564
2037,579346	-95,582893
2040,270996	-95,743828
2042,962646	-96,423981
2045,654297	-95,066757
2048,345947	-95,863777
2051,037598	-97,054352
2053,729248	-95,135666
2056,420898	-95,469963
2059,112549	-94,514740
