Frecuencia (Hz)	volumen (dB)
2,691650	-60,736263
5,383301	-63,018871
8,074951	-64,657799
10,766602	-67,348015
13,458252	-70,324829
16,149902	-71,164619
18,841553	-70,997177
21,533203	-72,811516
24,224854	-75,608871
26,916504	-76,097984
29,608154	-71,279686
32,299805	-77,284821
34,991455	-77,821068
37,683105	-79,612526
40,374756	-79,344612
43,066406	-80,963295
45,758057	-80,288017
48,449707	-82,610352
51,141357	-81,295631
53,833008	-80,640465
56,524658	-79,243538
59,216309	-76,034958
61,907959	-80,478729
64,599609	-82,148254
67,291260	-83,196182
69,982910	-82,463646
72,674561	-82,040718
75,366211	-83,510849
78,057861	-83,146126
80,749512	-83,002914
83,441162	-83,795395
86,132813	-83,727913
88,824463	-79,254219
91,516113	-83,339592
94,207764	-84,234749
96,899414	-83,837318
99,591064	-83,320816
102,282715	-82,970108
104,974365	-84,131195
107,666016	-82,086609
110,357666	-81,763313
113,049316	-82,048149
115,740967	-80,907097
118,432617	-73,616890
121,124268	-70,750488
123,815918	-80,098274
126,507568	-82,944443
129,199219	-85,305435
131,890869	-84,881104
134,582520	-83,819344
137,274170	-86,663696
139,965820	-87,313316
142,657471	-87,191040
145,349121	-86,974319
148,040771	-88,206528
150,732422	-87,388290
153,424072	-87,112801
156,115723	-88,222527
158,807373	-87,249107
161,499023	-86,414330
164,190674	-87,436989
166,882324	-88,025726
169,573975	-87,246635
172,265625	-86,759872
174,957275	-83,659706
177,648926	-83,157066
180,340576	-70,645737
183,032227	-84,588295
185,723877	-83,288857
188,415527	-81,800377
191,107178	-84,648888
193,798828	-85,477470
196,490479	-83,049110
199,182129	-82,401863
201,873779	-81,872292
204,565430	-82,951340
207,257080	-84,923347
209,948730	-84,740570
212,640381	-83,490440
215,332031	-82,672424
218,023682	-82,843376
220,715332	-82,315399
223,406982	-79,985817
226,098633	-80,780670
228,790283	-81,464935
231,481934	-84,366844
234,173584	-85,383347
236,865234	-82,068588
239,556885	-74,088715
242,248535	-80,584969
244,940186	-81,823883
247,631836	-82,663109
250,323486	-82,063698
253,015137	-81,144608
255,706787	-79,500839
258,398438	-79,009254
261,090088	-76,455017
263,781738	-76,623085
266,473389	-78,098495
269,165039	-79,940750
271,856689	-79,035637
274,548340	-79,523506
277,239990	-79,407440
279,931641	-80,053680
282,623291	-78,956863
285,314941	-75,964249
288,006592	-78,794922
290,698242	-81,613571
293,389893	-83,862831
296,081543	-80,195953
298,773193	-75,923302
301,464844	-75,275307
304,156494	-74,411255
306,848145	-82,196625
309,539795	-86,334686
312,231445	-87,266556
314,923096	-86,877472
317,614746	-87,219864
320,306396	-86,875847
322,998047	-85,368919
325,689697	-85,519081
