Frecuencia (Hz)	volumen (dB)
2,691650	-60,561974
5,383301	-63,153492
8,074951	-64,670616
10,766602	-65,691345
13,458252	-69,580299
16,149902	-72,014671
18,841553	-65,368126
21,533203	-71,275932
24,224854	-71,524223
26,916504	-72,811012
29,608154	-63,510769
32,299805	-69,656616
34,991455	-71,752785
37,683105	-73,468430
40,374756	-73,770638
43,066406	-74,574486
45,758057	-77,708458
48,449707	-75,682419
51,141357	-74,324570
53,833008	-72,858101
56,524658	-66,567780
59,216309	-67,017166
61,907959	-71,207527
64,599609	-73,826431
67,291260	-73,874985
69,982910	-73,599434
72,674561	-74,067413
75,366211	-76,876030
78,057861	-75,249184
80,749512	-75,424149
83,441162	-75,533539
86,132813	-77,958076
88,824463	-79,513832
91,516113	-78,743294
94,207764	-75,589569
96,899414	-77,659134
99,591064	-77,192863
102,282715	-74,784744
104,974365	-74,287155
107,666016	-71,924416
110,357666	-64,761375
113,049316	-71,049980
115,740967	-65,878319
118,432617	-70,769760
121,124268	-68,267044
123,815918	-74,714508
126,507568	-74,779205
129,199219	-73,436752
131,890869	-74,690781
134,582520	-76,486298
137,274170	-76,698242
139,965820	-77,891708
142,657471	-76,341606
145,349121	-71,000580
148,040771	-69,614891
150,732422	-73,026794
153,424072	-68,827316
156,115723	-68,175758
158,807373	-67,204857
161,499023	-68,397606
164,190674	-74,477608
166,882324	-73,948784
169,573975	-75,034470
172,265625	-71,150726
174,957275	-68,645615
177,648926	-68,987930
180,340576	-67,637711
183,032227	-67,399261
185,723877	-65,905655
188,415527	-66,449730
191,107178	-71,606567
193,798828	-75,017342
196,490479	-77,382011
199,182129	-75,725365
201,873779	-73,565895
204,565430	-71,706078
207,257080	-73,401764
209,948730	-76,118874
212,640381	-76,797440
215,332031	-73,927727
218,023682	-73,431923
220,715332	-73,237915
223,406982	-73,815155
226,098633	-74,937553
228,790283	-74,073479
231,481934	-74,716576
234,173584	-76,213081
236,865234	-76,184662
239,556885	-70,174706
242,248535	-74,224327
244,940186	-71,449478
247,631836	-73,885681
250,323486	-72,606186
253,015137	-69,698883
255,706787	-70,779518
258,398438	-69,974861
261,090088	-71,756165
263,781738	-74,610252
266,473389	-75,568344
269,165039	-76,605049
271,856689	-74,607262
274,548340	-73,083069
277,239990	-73,986282
279,931641	-72,035080
282,623291	-71,651215
285,314941	-73,129074
288,006592	-73,655060
290,698242	-74,005470
293,389893	-76,628761
296,081543	-72,180176
298,773193	-70,900482
301,464844	-72,947105
304,156494	-72,159966
306,848145	-71,872147
309,539795	-73,120697
312,231445	-75,311432
314,923096	-74,174789
317,614746	-72,922340
320,306396	-72,510178
322,998047	-71,752129
325,689697	-72,159904
328,381348	-73,850876
331,072998	-74,600891
333,764648	-72,111275
336,456299	-72,889664
339,147949	-73,213150
341,839600	-74,995430
344,531250	-74,160973
347,222900	-71,822716
349,914551	-70,602943
352,606201	-72,806046
355,297852	-74,678078
357,989502	-74,317360
360,681152	-71,449287
363,372803	-79,568054
366,064453	-78,168480
368,756104	-76,771500
371,447754	-75,624802
374,139404	-76,121262
376,831055	-76,136009
379,522705	-76,294922
382,214355	-77,291313
384,906006	-76,281731
387,597656	-77,671783
390,289307	-78,909271
392,980957	-77,966743
395,672607	-76,749184
398,364258	-75,530052
401,055908	-80,960617
403,747559	-79,622513
406,439209	-78,445366
409,130859	-79,326042
411,822510	-80,212418
414,514160	-82,278084
417,205811	-83,284698
419,897461	-79,788414
422,589111	-79,404861
425,280762	-79,216553
427,972412	-77,730835
430,664063	-78,655388
433,355713	-79,680351
436,047363	-82,189491
438,739014	-81,944099
441,430664	-81,022636
444,122314	-80,684830
446,813965	-81,580170
449,505615	-81,685211
452,197266	-80,388695
454,888916	-80,898636
457,580566	-79,748375
460,272217	-76,079239
462,963867	-77,537132
465,655518	-82,061226
468,347168	-80,077644
471,038818	-79,134857
473,730469	-80,768204
476,422119	-81,177017
479,113770	-79,611191
481,805420	-81,954422
484,497070	-83,204346
487,188721	-82,133514
489,880371	-83,349159
492,572021	-81,653976
495,263672	-80,329887
497,955322	-79,219482
500,646973	-80,870247
503,338623	-82,651665
506,030273	-84,243141
508,721924	-81,732162
511,413574	-78,515091
514,105225	-80,031448
516,796875	-82,098419
519,488525	-79,201767
522,180176	-79,846748
524,871826	-79,731056
527,563477	-78,527695
530,255127	-77,888268
532,946777	-78,831726
535,638428	-80,185806
538,330078	-79,830879
541,021729	-80,318810
543,713379	-79,992462
546,405029	-79,408142
549,096680	-79,500313
551,788330	-79,624023
554,479980	-79,482689
557,171631	-80,986412
559,863281	-80,432098
562,554932	-80,843582
565,246582	-80,980118
567,938232	-79,312447
570,629883	-78,329247
573,321533	-77,980827
576,013184	-80,050339
578,704834	-79,589684
581,396484	-78,334328
584,088135	-81,982826
586,779785	-81,392044
589,471436	-81,136971
592,163086	-81,971596
594,854736	-83,183052
597,546387	-80,964638
600,238037	-73,129097
602,929688	-78,747597
605,621338	-79,308449
608,312988	-80,932457
611,004639	-80,933182
613,696289	-81,200905
616,387939	-82,587929
619,079590	-80,867149
621,771240	-80,342957
624,462891	-81,028641
627,154541	-83,061646
629,846191	-81,838638
632,537842	-81,242973
635,229492	-81,438759
637,921143	-81,070038
640,612793	-81,168602
643,304443	-81,325745
645,996094	-79,916153
648,687744	-82,369492
651,379395	-80,627991
654,071045	-83,047150
656,762695	-84,486649
659,454346	-83,720261
662,145996	-84,723320
664,837646	-81,941643
667,529297	-82,953239
670,220947	-82,983902
672,912598	-83,508621
675,604248	-85,734894
678,295898	-86,272575
680,987549	-86,499916
683,679199	-86,375305
686,370850	-88,261986
689,062500	-87,060951
691,754150	-86,329041
694,445801	-84,461060
697,137451	-84,701057
699,829102	-84,933846
702,520752	-83,798294
705,212402	-85,580139
707,904053	-84,323914
710,595703	-83,881241
713,287354	-83,626350
715,979004	-83,232155
718,670654	-83,146667
721,362305	-82,129265
724,053955	-83,595375
726,745605	-84,403336
729,437256	-84,720467
