t=0.0330	contrast=0.5384
t=0.0670	contrast=0.5801
t=0.1010	contrast=0.5698
t=0.1350	contrast=0.5829
t=0.1690	contrast=0.6040
t=0.2030	contrast=0.6050
t=0.2370	contrast=0.6022
t=0.2710	contrast=0.6023
t=0.3050	contrast=0.6043
t=0.3390	contrast=0.5912
t=0.3730	contrast=0.5954
t=0.4070	contrast=0.5897
t=0.4410	contrast=0.5937
t=0.4750	contrast=0.6051
t=0.5090	contrast=0.5755
t=0.5430	contrast=0.5745
t=0.5770	contrast=0.5785
t=0.6110	contrast=0.5769
t=0.6450	contrast=0.5996
t=0.6790	contrast=0.5837
t=0.7130	contrast=0.5756
t=0.7470	contrast=0.5773
t=0.7810	contrast=0.5779
t=0.8150	contrast=0.5879
t=0.8490	contrast=0.5881
t=0.8830	contrast=0.5827
t=0.9170	contrast=0.5787
t=0.9510	contrast=0.6040
t=0.9850	contrast=0.5718
t=1.0190	contrast=0.5028
t=1.0530	contrast=0.5517
t=1.0870	contrast=0.5705
t=1.1210	contrast=0.5465
t=1.1550	contrast=0.5692
t=1.1890	contrast=0.5764
t=1.2230	contrast=0.5749
t=1.2570	contrast=0.5743
t=1.2910	contrast=0.5844
t=1.3250	contrast=0.5700
t=1.3590	contrast=0.5630
t=1.3930	contrast=0.5692
t=1.4270	contrast=0.5564
t=1.4610	contrast=0.5785
t=1.4950	contrast=0.5598
t=1.5290	contrast=0.5490
t=1.5630	contrast=0.5782
t=1.5970	contrast=0.5585
t=1.6310	contrast=0.5648
t=1.6650	contrast=0.5665
t=1.6990	contrast=0.5628
t=1.7330	contrast=0.5818
t=1.7670	contrast=0.5743
t=1.8010	contrast=0.5727
t=1.8350	contrast=0.5747
t=1.8690	contrast=0.5721
t=1.9030	contrast=0.5506
t=1.9370	contrast=0.5626
t=1.9710	contrast=0.5692
t=2.0050	contrast=0.5039
t=2.0390	contrast=0.5475
t=2.0730	contrast=0.6045
t=2.1070	contrast=0.5819
t=2.1410	contrast=0.5774
t=2.1750	contrast=0.5853
t=2.2090	contrast=0.5861
t=2.2430	contrast=0.5783
t=2.2770	contrast=0.5741
t=2.3110	contrast=0.5747
t=2.3450	contrast=0.5762
t=2.3790	contrast=0.5976
t=2.4130	contrast=0.5811
t=2.4470	contrast=0.5724
t=2.4810	contrast=0.5770
t=2.5150	contrast=0.5682
t=2.5490	contrast=0.5987
t=2.5830	contrast=0.5970
t=2.6170	contrast=0.5852
t=2.6510	contrast=0.5942
t=2.6850	contrast=0.5891
t=2.7190	contrast=0.6011
t=2.7530	contrast=0.6032
t=2.7870	contrast=0.5997
t=2.8210	contrast=0.6035
t=2.8550	contrast=0.6038
t=2.8890	contrast=0.5890
t=2.9230	contrast=0.5652
t=2.9570	contrast=0.5795
t=2.9910	contrast=0.5485
t=3.0250	contrast=0.5313
t=3.0590	contrast=0.5727
t=3.0930	contrast=0.5739
t=3.1270	contrast=0.5757
t=3.1610	contrast=0.6012
t=3.1950	contrast=0.6049
t=3.2289	contrast=0.6030
t=3.2629	contrast=0.5993
t=3.2969	contrast=0.6045
t=3.3309	contrast=0.5934
t=3.3649	contrast=0.5930
t=3.3989	contrast=0.5931
t=3.4329	contrast=0.5881
t=3.4669	contrast=0.6048
t=3.5009	contrast=0.5829
t=3.5349	contrast=0.5707
t=3.5689	contrast=0.5807
t=3.6029	contrast=0.5727
t=3.6369	contrast=0.5962
t=3.6709	contrast=0.5894
t=3.7049	contrast=0.5743
t=3.7389	contrast=0.5786
t=3.7729	contrast=0.5762
t=3.8069	contrast=0.5861
t=3.8409	contrast=0.5878
t=3.8749	contrast=0.5851
t=3.9089	contrast=0.5756
t=3.9429	contrast=0.5969
t=3.9769	contrast=0.5884
t=4.0109	contrast=0.5120
t=4.0449	contrast=0.5337
t=4.0789	contrast=0.5762
t=4.1129	contrast=0.5487
t=4.1469	contrast=0.5636
t=4.1809	contrast=0.5764
t=4.2149	contrast=0.5754
t=4.2489	contrast=0.5734
t=4.2829	contrast=0.5827
t=4.3169	contrast=0.5759
t=4.3509	contrast=0.5611
t=4.3849	contrast=0.5714
t=4.4189	contrast=0.5572
t=4.4529	contrast=0.5733
t=4.4869	contrast=0.5700
t=4.5209	contrast=0.5443
t=4.5549	contrast=0.5753
t=4.5889	contrast=0.5645
t=4.6228	contrast=0.5602
t=4.6568	contrast=0.5703
t=4.6908	contrast=0.5601
t=4.7248	contrast=0.5789
t=4.7588	contrast=0.5773
t=4.7928	contrast=0.5720
t=4.8268	contrast=0.5747
t=4.8608	contrast=0.5746
t=4.8948	contrast=0.5561
t=4.9288	contrast=0.5549
t=4.9628	contrast=0.5778
t=4.9968	contrast=0.5141
