t=0.0330	contrast=0.4912
t=0.0670	contrast=0.3998
t=0.1010	contrast=0.4640
t=0.1350	contrast=0.5130
t=0.1690	contrast=0.3985
t=0.2030	contrast=0.4491
t=0.2370	contrast=0.5351
t=0.2710	contrast=0.3979
t=0.3050	contrast=0.4156
t=0.3390	contrast=0.5688
t=0.3730	contrast=0.3972
t=0.4070	contrast=0.4046
t=0.4410	contrast=0.5778
t=0.4750	contrast=0.3997
t=0.5090	contrast=0.3994
t=0.5430	contrast=0.5670
t=0.5770	contrast=0.4165
t=0.6110	contrast=0.3967
t=0.6450	contrast=0.5547
t=0.6790	contrast=0.4283
t=0.7130	contrast=0.3970
t=0.7470	contrast=0.5349
t=0.7810	contrast=0.4452
t=0.8150	contrast=0.4002
t=0.8490	contrast=0.4918
t=0.8830	contrast=0.4901
t=0.9170	contrast=0.3989
t=0.9510	contrast=0.4637
t=0.9850	contrast=0.5118
t=1.0190	contrast=0.3976
t=1.0530	contrast=0.4488
t=1.0870	contrast=0.5339
t=1.1210	contrast=0.3979
t=1.1550	contrast=0.4154
t=1.1890	contrast=0.5688
t=1.2230	contrast=0.3970
t=1.2570	contrast=0.4048
t=1.2910	contrast=0.5777
t=1.3250	contrast=0.3985
t=1.3590	contrast=0.3986
t=1.3930	contrast=0.5672
t=1.4270	contrast=0.4153
t=1.4610	contrast=0.3961
t=1.4950	contrast=0.5532
t=1.5290	contrast=0.4288
t=1.5630	contrast=0.3962
t=1.5970	contrast=0.5334
t=1.6310	contrast=0.4441
t=1.6650	contrast=0.4006
t=1.6990	contrast=0.4907
t=1.7330	contrast=0.4888
t=1.7670	contrast=0.3962
t=1.8010	contrast=0.4608
t=1.8350	contrast=0.5114
t=1.8690	contrast=0.3956
t=1.9030	contrast=0.4470
t=1.9370	contrast=0.5334
t=1.9710	contrast=0.3953
t=2.0050	contrast=0.4124
t=2.0390	contrast=0.5684
t=2.0730	contrast=0.3936
t=2.1070	contrast=0.4016
t=2.1410	contrast=0.5777
t=2.1750	contrast=0.3959
t=2.2090	contrast=0.3970
t=2.2430	contrast=0.5663
t=2.2770	contrast=0.4139
t=2.3110	contrast=0.3950
t=2.3450	contrast=0.5529
t=2.3790	contrast=0.4288
t=2.4130	contrast=0.3972
t=2.4470	contrast=0.5338
t=2.4810	contrast=0.4460
t=2.5150	contrast=0.4014
t=2.5490	contrast=0.4919
t=2.5830	contrast=0.4910
t=2.6170	contrast=0.3988
t=2.6510	contrast=0.4638
t=2.6850	contrast=0.5114
t=2.7190	contrast=0.3976
t=2.7530	contrast=0.4472
t=2.7870	contrast=0.5334
t=2.8210	contrast=0.3967
t=2.8550	contrast=0.4116
t=2.8890	contrast=0.5681
t=2.9230	contrast=0.3938
t=2.9570	contrast=0.4019
t=2.9910	contrast=0.5770
t=3.0250	contrast=0.3971
t=3.0590	contrast=0.3969
t=3.0930	contrast=0.5667
t=3.1270	contrast=0.4141
t=3.1610	contrast=0.3947
t=3.1950	contrast=0.5547
t=3.2289	contrast=0.4259
t=3.2629	contrast=0.3963
t=3.2969	contrast=0.5334
t=3.3309	contrast=0.4437
t=3.3649	contrast=0.4004
t=3.3989	contrast=0.4915
t=3.4329	contrast=0.4883
t=3.4669	contrast=0.3985
t=3.5009	contrast=0.4631
t=3.5349	contrast=0.5079
t=3.5689	contrast=0.3965
t=3.6029	contrast=0.4465
t=3.6369	contrast=0.5329
t=3.6709	contrast=0.3965
t=3.7049	contrast=0.4141
t=3.7389	contrast=0.5681
t=3.7729	contrast=0.3970
t=3.8069	contrast=0.4060
t=3.8409	contrast=0.5756
t=3.8749	contrast=0.3992
t=3.9089	contrast=0.3988
t=3.9429	contrast=0.5668
t=3.9769	contrast=0.4134
t=4.0109	contrast=0.3950
t=4.0449	contrast=0.5556
t=4.0789	contrast=0.4246
t=4.1129	contrast=0.3963
t=4.1469	contrast=0.5342
t=4.1809	contrast=0.4445
t=4.2149	contrast=0.3993
t=4.2489	contrast=0.4921
t=4.2829	contrast=0.4878
t=4.3169	contrast=0.3979
t=4.3509	contrast=0.4656
t=4.3849	contrast=0.5069
t=4.4189	contrast=0.3972
t=4.4529	contrast=0.4478
t=4.4869	contrast=0.5319
t=4.5209	contrast=0.3957
t=4.5549	contrast=0.4149
t=4.5889	contrast=0.5671
t=4.6228	contrast=0.3944
t=4.6568	contrast=0.4036
t=4.6908	contrast=0.5745
t=4.7248	contrast=0.3963
t=4.7588	contrast=0.3968
t=4.7928	contrast=0.5671
t=4.8268	contrast=0.4124
t=4.8608	contrast=0.3944
t=4.8948	contrast=0.5574
t=4.9288	contrast=0.4235
t=4.9628	contrast=0.3975
t=4.9968	contrast=0.5333
